post_id,post_title,current_category,attachment,suggested_category,confidence,score_mid1,score_mid2,score_final
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2016_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2017_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2018_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2019_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2020_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2021_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2023_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-final-archive,【期末】分析化學一 final 考古題,final,assets/analytical_chem/analytical1/final/2024_final_analytical_chem_1.pdf,final,11,3,0,14
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2016_analytical_chem_1.pdf,mid1,9,9,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2017_analytical_chem_1.pdf,mid1,21,21,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2018_analytical_chem_1.pdf,mid1,9,9,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2019_analytical_chem_1.pdf,mid1,6,6,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2020_analytical_chem_1.pdf,mid1,9,9,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2021_analytical_chem_1.pdf,mid1,9,9,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2023_analytical_chem_1.pdf,mid1,9,9,0,0
analytical-chem-1-first-archive,【期中一】分析化學一 mid1 考古題,mid1,assets/analytical_chem/analytical1/first/2024_first_midterm_exam_solutions.pdf,mid1,9,9,0,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2017_second_midterm_analytical_chem_1.pdf,mid2,6,0,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2018_second_midterm_analytical_chem_1.pdf,mid2,6,0,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2019_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2020_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2021_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2022_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2023_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-1-second-archive,【期中二】分析化學一 mid2 考古題,mid2,assets/analytical_chem/analytical1/second/2024_second_midterm_analytical_chem_1.pdf,unknown,3,3,6,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch1_20210304.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch10_20210408.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch13_15.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch15_1.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch2_3_20210311.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch4_1.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/ch5_9_20210325.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/chapter_20_26.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/chapter_26_27.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/chapter_28.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/l15_l16_20210506.pdf,unknown,3,3,0,0
analytical-chem-2-assistant-materials,【其他】分析化學二助教教材,other,assets/analytical_chem/analytical2/assistant/l9.pdf,unknown,3,3,0,0
analytical-chem-2-final-archive,【期末】分析化學二 final 考古題,final,assets/analytical_chem/analytical2/final/108-final.pdf,final,11,3,0,14
analytical-chem-2-final-archive,【期末】分析化學二 final 考古題,final,assets/analytical_chem/analytical2/final/110-final.pdf,final,11,3,0,14
analytical-chem-2-final-archive,【期末】分析化學二 final 考古題,final,assets/analytical_chem/analytical2/final/111-final.pdf,final,11,3,0,14
